OBJECTID,SCHOOL_ID,SCHOOLDIST,POLYTYPE,PRIMARYPOL,USERNAME,UPDATE_,EDITED,EACODE,District2,Inst_ID,SchDist,SEDdir_BOC,SEDdir_B_1,SED_CODE_1,POPULAR_NA,INSTPECD,INSTSUBYPE,INSSUBDE,MUNICODE,SDLCODE,ORPTSCOD_1,Shape__Area,Shape__Length
1,288,SO MOUNTAIN,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,32201,SO MOUNTAIN,8E+11,SOUTH MOUNTAIN-HICKORY COMN SD AT BI, , ,30201080000,SOUTH MOUNTAIN-HICKORY COMN SD AT BI,16,10,100% CONTRACT,31007300100,30201,32201,1851277.966,5621.505431
2,2,LONG BEACH,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,281000,LONG BEACH,8E+11,LONG BEACH,2890,BOCES NASSAU,2.803E+11,LONG BEACH CITY SD,16,1,CITY,2.80528E+11,280300,281000,14419639.54,25598.58164
3,3,ISLAND PARK,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282031,ISLAND PARK,8E+11,ISLAND PARK,2890,BOCES NASSAU,2.80231E+11,ISLAND PARK UFSD,16,2,UNION FREE,2.80939E+11,280231,282031,5191551.147,9628.875729
4,4,BROOKLYN 21,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,610000,BROOKLYN 21,8E+11,NYC GEOG DIST #21 - ISC-SI, , ,3.321E+11,NYC GEOG DIST #21 - BROOKLYN,16,1,CITY,6.00534E+11,332100,610000,35349836.83,33763.6288
5,5,BROOKLYN 22,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,610000,BROOKLYN 22,8E+11,NYC GEOG DIST #22 - ISC-SI, , ,3.322E+11,NYC GEOG DIST #22 - BROOKLYN,16,1,CITY,6.00534E+11,332200,610000,47506090.26,34827.07165
6,6,RICHMOND 31,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,640000,NYC GEOG DIST #31 - ISC-SI,8E+11,NYC GEOG DIST #31 - ISC-SI, , ,3.531E+11,NYC GEOG DIST #31 - STATEN ISLAND,16,1,CITY,6.00534E+11,353100,640000,265561462.2,67477.00707
7,7,LAWRENCE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282015,LAWRENCE,8E+11,LAWRENCE,2890,BOCES NASSAU,2.80215E+11,LAWRENCE UFSD,16,3,INDEPENDENT UNION FREE,2.80639E+11,280215,282015,27527187.83,29241.67394
8,8,HEWLETT WOODMERE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282014,HEWLETT WOODMERE,8E+11,HEWLETT WOODMERE,2890,BOCES NASSAU,2.80214E+11,HEWLETT-WOODMERE UFSD,16,3,INDEPENDENT UNION FREE,2.80639E+11,280214,282014,9767857.327,15999.58747
9,9,EAST ROCKAWAY,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282019,EAST ROCKAWAY,8E+11,EAST ROCKAWAY,2890,BOCES NASSAU,2.80219E+11,EAST ROCKAWAY UFSD,16,3,INDEPENDENT UNION FREE,2.80639E+11,280219,282019,3140658.989,9748.676491
10,10,BROOKLYN 20,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,610000,BROOKLYN 20,8E+11,NYC GEOG DIST #20 - ISC-SI, , ,3.32E+11,NYC GEOG DIST #20 - BROOKLYN,16,1,CITY,6.00534E+11,332000,610000,36675740.77,32190.58039
11,11,BROOKLYN 18,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,610000,BROOKLYN 18,8E+11,NYC GEOG DIST #18 - ISC-SI, , ,3.318E+11,NYC GEOG DIST #18 - BROOKLYN,16,1,CITY,6.00534E+11,331800,610000,14426635.02,19742.19722
12,12,OCEANSIDE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282011,OCEANSIDE,8E+11,OCEANSIDE,2890,BOCES NASSAU,2.80211E+11,OCEANSIDE UFSD,16,3,INDEPENDENT UNION FREE,2.80639E+11,280211,282011,39798732.85,43347.01131
13,13,VALLEY STR HEMP 24,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282024,VALLEY STR HEMP 24,8E+11,VALLEY STR HEMP 24,2890,BOCES NASSAU,2.80224E+11,VALLEY STREAM 24 UFSD,16,2,UNION FREE,2.80939E+11,280224,282024,3607783.363,9711.233362
14,14,FIRE ISLAND,DTM ONLY,Y,pieper,6/23/1995 0:00,SUFFOLK,472814,FIRE ISLAND,8E+11,FIRE ISLAND,5891,BOCES EASTERN SUFFOLK,5.80514E+11,FIRE ISLAND UFSD,16,2,UNION FREE,4.70942E+11,580514,472814,50420174.21,48280.42567
15,15,LYNBROOK,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282020,LYNBROOK,8E+11,LYNBROOK,2890,BOCES NASSAU,2.8022E+11,LYNBROOK UFSD,16,3,INDEPENDENT UNION FREE,2.80639E+11,280220,282020,5558789.59,13575.73406
16,16,FREEPORT,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282009,FREEPORT,8E+11,FREEPORT,2890,BOCES NASSAU,2.80209E+11,FREEPORT UFSD,16,3,INDEPENDENT UNION FREE,2.80639E+11,280209,282009,23503953.48,29205.99084
17,17,MERRICK,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282025,MERRICK,8E+11,MERRICK,2890,BOCES NASSAU,2.80225E+11,MERRICK UFSD,16,2,UNION FREE,2.80939E+11,280225,282025,23012841.27,24909.0815
18,18,BELLMORE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282007,BELLMORE,8E+11,BELLMORE,2890,BOCES NASSAU,2.80207E+11,BELLMORE UFSD,16,2,UNION FREE,2.80939E+11,280207,282007,10154736.69,22696.61865
19,19,BROOKLYN 17,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,610000,NYC GEOG DIST #17 - ISC-SI,8E+11,NYC GEOG DIST #17 - ISC-SI, , ,3.317E+11,NYC GEOG DIST #17 - BROOKLYN,16,1,CITY,6.00534E+11,331700,610000,12007348.34,19860.68665
20,20,VALLEY STR HEMP 30,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282030,VALLEY STR HEMP 30,8E+11,VALLEY STR HEMP 30,2890,BOCES NASSAU,2.8023E+11,VALLEY STREAM 30 UFSD,16,2,UNION FREE,2.80939E+11,280230,282030,4486203.578,9791.395404
21,21,BROOKLYN 23,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,610000,BROOKLYN 23,8E+11,NYC GEOG DIST #23 - ISC-BROOK, , ,3.323E+11,NYC GEOG DIST #23 - BROOKLYN,16,1,CITY,6.00534E+11,332300,610000,4395825.824,11006.88324
22,22,MALVERNE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282012,MALVERNE,8E+11,MALVERNE,2890,BOCES NASSAU,2.80212E+11,MALVERNE UFSD,16,3,INDEPENDENT UNION FREE,2.80639E+11,280212,282012,5910668.641,11652.97991
23,23,BALDWIN,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282010,BALDWIN,8E+11,BALDWIN,2890,BOCES NASSAU,2.8021E+11,BALDWIN UFSD,16,3,INDEPENDENT UNION FREE,2.80639E+11,280210,282010,11727780.41,22089.26722
24,24,MANHATTAN 2,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,620000,MANHATTAN 2,8E+11,NYC GEOG DIST # 2 - ISC-MANHA, , ,3.102E+11,NYC GEOG DIST # 2 - MANHATTAN,16,1,CITY,6.00534E+11,310200,620000,59520.8042,964.6897866
25,25,BROOKLYN 15,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,610000,NYC GEOG DIST #15 - ISC-BROOK,8E+11,NYC GEOG DIST #15 - ISC-BROOK, , ,3.315E+11,NYC GEOG DIST #15 - BROOKLYN,16,1,CITY,6.00534E+11,331500,610000,26443946.65,26173.60737
26,26,ROCKVILLE CENTRE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282021,ROCKVILLE CENTRE,8E+11,ROCKVILLE CENTRE,2890,BOCES NASSAU,2.80221E+11,ROCKVILLE CENTRE UFSD,16,3,INDEPENDENT UNION FREE,2.80639E+11,280221,282021,7565507.368,14485.20258
27,27,ROOSEVELT,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282008,ROOSEVELT,8E+11,ROOSEVELT,2890,BOCES NASSAU,2.80208E+11,ROOSEVELT UFSD,16,3,INDEPENDENT UNION FREE,2.80639E+11,280208,282008,4746326.268,9448.767078
28,28,BROOKLYN 19,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,610000,BROOKLYN 19,8E+11,NYC GEOG DIST #19 - ISC-BROOK, , ,3.319E+11,NYC GEOG DIST #19 - BROOKLYN,16,1,CITY,6.00534E+11,331900,610000,40712276.78,36700.83466
29,29,SEAFORD,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282006,SEAFORD,8E+11,SEAFORD,2890,BOCES NASSAU,2.80206E+11,SEAFORD UFSD,16,3,INDEPENDENT UNION FREE,2.80639E+11,280206,282006,18181816.76,26954.46698
30,30,BROOKLYN 16,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,610000,NYC GEOG DIST #16 - ISC-BROOK,8E+11,NYC GEOG DIST #16 - ISC-BROOK, , ,3.316E+11,NYC GEOG DIST #16 - BROOKLYN,16,1,CITY,6.00534E+11,331600,610000,4264521.177,10461.95694
31,31,VALLEY STR HEMP 13,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282013,VALLEY STR HEMP 13,8E+11,VALLEY STR HEMP 13,2890,BOCES NASSAU,2.80213E+11,VALLEY STREAM 13 UFSD,16,2,UNION FREE,2.80939E+11,280213,282013,8476101.938,12809.01724
32,32,WANTAGH,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282023,WANTAGH,8E+11,WANTAGH,2890,BOCES NASSAU,2.80223E+11,WANTAGH UFSD,16,3,INDEPENDENT UNION FREE,2.80639E+11,280223,282023,15031594.27,28807.71529
33,33,MANHATTAN 2,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,620000,MANHATTAN 2,8E+11,NYC GEOG DIST # 2 - ISC-MANHA, , ,3.102E+11,NYC GEOG DIST # 2 - MANHATTAN,16,1,CITY,6.00534E+11,310200,620000,129625.3218,1981.787374
34,34,NORTH MERRICK,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282029,NORTH MERRICK,8E+11,NORTH MERRICK,2890,BOCES NASSAU,2.80229E+11,NORTH MERRICK UFSD,16,2,UNION FREE,2.80939E+11,280229,282029,5344873.156,10474.43337
35,35,MASSAPEQUA,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282423,MASSAPEQUA,8E+11,MASSAPEQUA,2890,BOCES NASSAU,2.80523E+11,MASSAPEQUA UFSD,16,3,INDEPENDENT UNION FREE,2.80663E+11,280523,282423,45682323.3,30932.49429
36,36,QUEENS 27,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,630000,QUEENS 27,8E+11,NYC GEOG DIST #27 - ISC-QUEEN, , ,3.427E+11,NYC GEOG DIST #27 - QUEENS,16,1,CITY,6.00534E+11,342700,630000,231200142.7,98614.19136
37,37,BROOKLYN 13,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,610000,NYC GEOG DIST #13 - ISC-BROOK,8E+11,NYC GEOG DIST #13 - ISC-BROOK, , ,3.313E+11,NYC GEOG DIST #13 - BROOKLYN,16,1,CITY,6.00534E+11,331300,610000,10074016.61,21827.97918
38,38,BROOKLYN 32,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,610000,BROOKLYN 32,8E+11,NYC GEOG DIST #32 - ISC-BROOK, , ,3.332E+11,NYC GEOG DIST #32 - BROOKLYN,16,1,CITY,6.00534E+11,333200,610000,4701928.07,10971.08021
39,39,NORTH BELLMORE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282004,NORTH BELLMORE,8E+11,NORTH BELLMORE,2890,BOCES NASSAU,2.80204E+11,NORTH BELLMORE UFSD,16,2,UNION FREE,2.80939E+11,280204,282004,8568434.998,13755.93571
40,40,AMITYVILLE,DTM ONLY,Y,pieper,6/23/1995 0:00,SUFFOLK,472006,AMITYVILLE,8E+11,AMITYVILLE,5893,BOCES WESTERN SUFFOLK,5.80106E+11,AMITYVILLE UFSD,16,3,INDEPENDENT UNION FREE,4.70605E+11,580106,472006,12153295.51,17910.73838
41,41,WEST HEMPSTEAD,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282027,WEST HEMPSTEAD,8E+11,WEST HEMPSTEAD,2890,BOCES NASSAU,2.80227E+11,WEST HEMPSTEAD UFSD,16,3,INDEPENDENT UNION FREE,2.80639E+11,280227,282027,6741199.733,11352.711
42,42,BABYLON,DTM ONLY,Y,pieper,6/23/1995 0:00,SUFFOLK,472001,BABYLON,8E+11,BABYLON,5893,BOCES WESTERN SUFFOLK,5.80101E+11,BABYLON UFSD,16,3,INDEPENDENT UNION FREE,4.70605E+11,580101,472001,6284098.614,12792.6994
43,43,FRANKLIN SQUARE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282017,FRANKLIN SQUARE,8E+11,FRANKLIN SQUARE,2890,BOCES NASSAU,2.80217E+11,FRANKLIN SQUARE UFSD,16,2,UNION FREE,2.80939E+11,280217,282017,6259001.989,11564.3796
44,44,LINDENHURST,DTM ONLY,Y,pieper,6/23/1995 0:00,SUFFOLK,472004,LINDENHURST,8E+11,LINDENHURST,5893,BOCES WESTERN SUFFOLK,5.80104E+11,LINDENHURST UFSD,16,3,INDEPENDENT UNION FREE,4.70605E+11,580104,472004,15235509.59,17376.03958
45,45,HEMPSTEAD,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282001,HEMPSTEAD,8E+11,HEMPSTEAD,2890,BOCES NASSAU,2.80201E+11,HEMPSTEAD UFSD,16,3,INDEPENDENT UNION FREE,2.80639E+11,280201,282001,8110870.786,12456.3871
46,46,COPIAGUE,DTM ONLY,Y,pieper,6/23/1995 0:00,SUFFOLK,472005,COPIAGUE,8E+11,COPIAGUE,5893,BOCES WESTERN SUFFOLK,5.80105E+11,COPIAGUE UFSD,16,3,INDEPENDENT UNION FREE,4.70605E+11,580105,472005,13301312.56,21529.32185
47,47,ELMONT,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282016,ELMONT,8E+11,ELMONT,2890,BOCES NASSAU,2.80216E+11,ELMONT UFSD,16,2,UNION FREE,2.80939E+11,280216,282016,12863305.24,21156.96592
48,48,MANHATTAN 1,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,620000,MANHATTAN 1,8E+11,NYC GEOG DIST # 1 - ISC-MANHA, , ,3.101E+11,NYC GEOG DIST # 1 - MANHATTAN,16,1,CITY,6.00534E+11,310100,620000,5113130.782,10620.24099
49,49,QUEENS 29,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,630000,QUEENS 29,8E+11,NYC GEOG DIST #29 - ISC-QUEEN, , ,3.429E+11,NYC GEOG DIST #29 - QUEENS,16,1,CITY,6.00534E+11,342900,630000,39049306.75,39871.1
50,50,PLAINEDGE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282418,PLAINEDGE,8E+11,PLAINEDGE,2890,BOCES NASSAU,2.80518E+11,PLAINEDGE UFSD,16,3,INDEPENDENT UNION FREE,2.80663E+11,280518,282418,7337778.91,13381.56874
51,51,BROOKLYN 14,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,610000,NYC GEOG DIST #14 - ISC-BROOK,8E+11,NYC GEOG DIST #14 - ISC-BROOK, , ,3.314E+11,NYC GEOG DIST #14 - BROOKLYN,16,1,CITY,6.00534E+11,331400,610000,14195579.4,18732.37631
52,52,QUEENS 28,NON-DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,630000,QUEENS 28,8E+11,NYC GEOG DIST #28 - ISC-QUEEN, , ,3.428E+11,NYC GEOG DIST #28 - QUEENS,16,1,CITY,6.00534E+11,342800,630000,23045974.31,34414.98801
53,53,FLORAL PARK,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282022,FLORAL PARK,8E+11,FLORAL PARK,2890,BOCES NASSAU,2.80222E+11,FLORAL PARK-BELLEROSE UFSD,16,2,UNION FREE,2.80939E+11,280222,282022,4504531.557,12377.55873
54,54,WEST BABYLON,DTM ONLY,Y,pieper,6/23/1995 0:00,SUFFOLK,472002,WEST BABYLON,8E+11,WEST BABYLON,5893,BOCES WESTERN SUFFOLK,5.80102E+11,WEST BABYLON UFSD,16,3,INDEPENDENT UNION FREE,4.70605E+11,580102,472002,14911442.74,24263.33787
55,55,GARDEN CITY,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,282018,GARDEN CITY,8E+11,GARDEN CITY,2890,BOCES NASSAU,2.80218E+11,GARDEN CITY UFSD,16,3,INDEPENDENT UNION FREE,2.80639E+11,280218,282018,13856221.38,19357.06351
